sales_quarter,country,sale_amount,sales_year
Q1,USA,180000,2023
Q2,USA,190000,2023
Q3,USA,195000,2023
Q4,USA,200000,2023
Q1,USA,170000,2024
Q2,USA,180000,2024
Q3,USA,190000,2024
Q4,USA,195000,2024
Q1,USA,160000,2025
Q1,China,140000,2023
Q2,China,150000,2023
Q3,China,145000,2023
Q4,China,155000,2023
Q1,China,140000,2024
Q2,China,145000,2024
Q3,China,150000,2024
Q4,China,155000,2024
Q1,China,125000,2025
Q1,Germany,20500,2023
Q2,Germany,22000,2023
Q3,Germany,23500,2023
Q4,Germany,25000,2023
Q1,Germany,24000,2024
Q2,Germany,25500,2024
Q3,Germany,26000,2024
Q4,Germany,27000,2024
Q1,Germany,12000,2025
Q1,Sweden,4000,2023
Q2,Sweden,5000,2023
Q3,Sweden,4200,2023
Q4,Sweden,5200,2023
Q1,Sweden,4800,2024
Q2,Sweden,5300,2024
Q3,Sweden,5500,2024
Q4,Sweden,5800,2024
Q1,Sweden,2500,2025
Q1,Europe_Total,94700,2023
Q2,Europe_Total,90000,2023
Q3,Europe_Total,85000,2023
Q4,Europe_Total,80000,2023
Q1,Europe_Total,75000,2024
Q2,Europe_Total,78000,2024
Q3,Europe_Total,80000,2024
Q4,Europe_Total,82000,2024
Q1,Europe_Total,59500,2025
